,区,单价,小区,层,总价,房型,房龄,板块,网址,面积
55,浦东,56896,绿洲康城亲水湾（中央区）,中区/14层,780,3室2厅,2007,御桥,/ershoufang/sh4372239.html,137.09
56,浦东,77457,东方知音苑,低区/7层,880,3室2厅,2002,金杨,/ershoufang/sh4359539.html,113.61
57,浦东,89164,上海绿城,低区/13层,1120,3室2厅,2005,杨东,/ershoufang/sh4330531.html,125.61
58,长宁,75497,科宁公寓,中区/24层,330,1室0厅,1991,中山公园,/ershoufang/sh4229837.html,43.71
59,徐汇,81869,江南新村（徐汇）,中区/5层,508,3室0厅,1981,斜土路,/ershoufang/sh1850194.html,62.05
60,闸北,76142,新赵家宅路36号,中区/4层,360,2室1厅,1980,西藏北路,/ershoufang/sh4817302.html,47.28
61,虹口,62293,新一小区,低区/6层,320,2室1厅,1983,江湾镇,/ershoufang/sh4815767.html,51.37
62,闵行,69141,三佳花苑,高区/6层,365,2室1厅,1995,七宝,/ershoufang/sh4815532.html,52.79
63,闵行,59314,静安新城（一区）,中区/6层,270,1室1厅,1998,静安新城,/ershoufang/sh4814628.html,45.52
64,黄浦,85086,振华大楼,高区/20层,550,2室1厅,1988,人民广场,/ershoufang/sh4812367.html,64.64
65,宝山,48309,乾溪新村,低区/6层,200,1室1厅,1994,大场镇,/ershoufang/sh4811081.html,41.4
66,杨浦,79056,加州水郡,中区/20层,1280,3室2厅,2010,新江湾城,/ershoufang/sh4809942.html,161.91
67,黄浦,92238,局门路405弄,中区/7层,328,1室0厅,1995,五里桥,/ershoufang/sh4809369.html,35.56
68,杨浦,70261,文化花园香榭丽苑,高区/11层,675,2室2厅,1999,五角场,/ershoufang/sh4808144.html,96.07
69,杨浦,66684,控江路680弄,中区/5层,248,1室1厅,1981,控江路,/ershoufang/sh4807967.html,37.19
70,虹口,78012,东体小区,高区/6层,325,2室1厅,1983,曲阳,/ershoufang/sh4806729.html,41.66
71,普陀,75685,中远两湾城,低区/32层,475,1室1厅,2006,中远两湾城,/ershoufang/sh4806154.html,62.76
72,浦东,51704,寿光路161弄,中区/6层,320,2室1厅,1994,金桥,/ershoufang/sh4805760.html,61.89
73,徐汇,79715,乐山六七村,中区/7层,470,2室1厅,1988,徐家汇,/ershoufang/sh4805268.html,58.96
74,闵行,61899,柏林春天,高区/14层,580,2室2厅,2003,莘庄,/ershoufang/sh4805016.html,93.7
75,浦东,10292,上海绿城,低区/12层,1400,3室2厅,2004,杨东,/ershoufang/sh4804450.html,136.02
76,长宁,75180,利西路277号,低区/6层,375,2室1厅,1981,中山公园,/ershoufang/sh4804369.html,49.88
77,徐汇,67073,花苑村桂花园,低区/6层,275,1室1厅,1989,康健,/ershoufang/sh4803918.html,41.0
78,闸北,73490,安源小区,中区/21层,690,3室1厅,1997,不夜城,/ershoufang/sh4803470.html,93.89
79,杨浦,75253,抚顺路363弄,中区/6层,260,1室1厅,1982,鞍山,/ershoufang/sh4803114.html,34.55
80,普陀,62893,西谈家渡路17弄,中区/7层,390,2室1厅,1990,武宁,/ershoufang/sh4802771.html,62.01
81,普陀,42592,桃浦十村（白丽路701弄）,中区/7层,230,2室0厅,1999,桃浦,/ershoufang/sh4802713.html,54.0
82,宝山,53892,吉浦路615弄,高区/6层,315,2室1厅,1994,高境,/ershoufang/sh4802337.html,58.45
83,闵行,54211,罗阳七村,中区/6层,280,2室1厅,1994,梅陇,/ershoufang/sh4801959.html,51.65
84,宝山,54426,海滨三村,低区/5层,150,1室1厅,1981,淞宝,/ershoufang/sh4801926.html,27.56
85,黄浦,98695,东淮海公寓,低区/28层,1400,3室2厅,unknow,豫园,/ershoufang/sh4801722.html,141.85
86,徐汇,78156,海晖公寓,高区/18层,458,1室1厅,1996,斜土路,/ershoufang/sh4801108.html,58.6
87,普陀,67186,中远两湾城,高区/34层,750,2室2厅,2005,中远两湾城,/ershoufang/sh4801092.html,111.63
88,长宁,92874,红庄小区,低区/18层,580,2室1厅,1990,新华路,/ershoufang/sh4800039.html,62.45
89,黄浦,84068,南文大厦,中区/27层,1220,5室2厅,unknow,老西门,/ershoufang/sh4799283.html,145.12
90,普陀,67846,香山苑,高区/24层,690,2室2厅,1999,曹杨,/ershoufang/sh4797865.html,101.7
91,普陀,50928,桃浦十村（白丽路701弄）,中区/7层,170,1室0厅,1998,桃浦,/ershoufang/sh4797669.html,33.38
92,徐汇,79142,大木桥路450弄,低区/6层,395,2室1厅,1982,斜土路,/ershoufang/sh4797635.html,49.91
93,普陀,65326,曹杨四村（桐柏园）,中区/6层,325,2室0厅,1982,曹杨,/ershoufang/sh4796453.html,49.75
